council_name,launch_priority,workspace_status,source_discovery_status,collection_target_type,launch_usefulness,evidence_type,machine_readable_status,matched_source_owners,matched_source_datasets,matched_source_urls,discovery_reference_urls,next_action,matched_entity_count,notes
Greater Bendigo City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Greater Dandenong City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Greater Geelong City Council,regional,covered,seeded,public_parking_lots,high,dataset_in_workspace,in_workspace,City of Greater Geelong,Parking Lots,https://discover.data.vic.gov.au/dataset/parking-lots,,,24,Official council-owned parking source is already represented in the latest research export.
Greater Shepparton City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Hepburn Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Hindmarsh Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Hobsons Bay City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Horsham Rural City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Hume City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Indigo Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Kingston City Council,metro,missing,evidence_found_no_dataset,unknown_parking_program_only,low,parking_page_only,not_found_yet,,,,https://www.kingston.vic.gov.au/services/roads-traffic-and-parking/parking,"Search Kingston site and broader web for map exports, ArcGIS services, accessible bays, foreshore parking, or permit-area spatial layers.",0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking information page found, but no exportable public parking dataset identified in this pass."
Knox City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Latrobe City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Loddon Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Macedon Ranges Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Manningham City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Mansfield Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Maribyrnong City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Maroondah City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Melbourne City Council,regional,covered,seeded,public_parking_bays_and_zones,high,dataset_in_workspace,in_workspace,City of Melbourne,On-street Parking Bay Sensors | On-street Parking Bays | Parking zones linked to street segments,https://discover.data.vic.gov.au/dataset/on-street-parking-bay-sensors | https://discover.data.vic.gov.au/dataset/on-street-parking-bays | https://discover.data.vic.gov.au/dataset/parking-zones-linked-to-street-segments,,,27895,Official council-owned parking source is already represented in the latest research export.
Melton City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Merri-bek City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Mildura Rural City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Mitchell Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Moira Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Monash City Council,metro,missing,evidence_found_no_dataset,parking_sensors_not_zones_yet,medium,parking_page_with_sensors,not_found_yet,,,,https://www.monash.vic.gov.au/Parking-Streets-Footpaths/Parking,Search for smart-city or ArcGIS endpoints behind Monash parking and in-ground sensor pages.,0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking page confirms in-ground sensors are used, but no machine-readable dataset was found in this pass."
Moonee Valley City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Moorabool Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Mornington Peninsula Shire Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Mount Alexander Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Moyne Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Murrindindi Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Nillumbik Shire Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Northern Grampians Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Port Phillip City Council,metro,missing,evidence_found_no_dataset,permit_area_maps_not_public_zones_yet,medium,parking_page_with_sensors_and_pdf_maps,pdf_map_only,,,,https://www.portphillip.vic.gov.au/parking | https://www.portphillip.vic.gov.au/council-services/parking-in-port-phillip/parking-sensors-in-port-phillip/ | https://www.portphillip.vic.gov.au/council-services/parking-in-port-phillip/paid-parking | https://www.portphillip.vic.gov.au/council-services/parking-in-port-phillip/parking-permits/where-can-i-park-with-my-permit-and-permit-areas/ | https://www.portphillip.vic.gov.au/media/fkcpq3lg/copp_residential-parking-permit-area-1.pdf,Inspect Port Phillip permit-area PDFs and related assets for source GIS layers or downloadable map services; escalate to data request if no machine-readable source exists.,0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking and parking-sensor pages found. Council confirms in-ground sensors and exposes downloadable permit-area PDF maps, but no machine-readable dataset was found in this pass."
Pyrenees Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
South Gippsland Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Southern Grampians Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Stonnington City Council,metro,missing,evidence_found_no_dataset,parking_sensors_not_zones_yet,medium,parking_page_with_sensors_and_program_page,not_found_yet,,,,https://www.stonnington.vic.gov.au/Services/Parking | https://www.stonnington.vic.gov.au/Services/Parking/Parking-sensors | https://www.stonnington.vic.gov.au/Services/Transforming-Stonnington/Smarter-parking,"Inspect smart-city and parking program pages for sensor map layers, Prahran Square availability feeds, ArcGIS endpoints, or downloadable parking datasets.",0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking, parking-sensor, and smarter-parking program pages found. Council confirms on-street and off-street sensor coverage, but no exportable dataset was found in this pass."
Strathbogie Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Surf Coast Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Swan Hill Rural City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Towong Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Wangaratta Rural City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Warrnambool City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Wellington Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
West Wimmera Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Whitehorse City Council,metro,missing,evidence_found_no_dataset,parking_sensors_not_zones_yet,medium,parking_page_with_sensors,not_found_yet,,,,https://www.whitehorse.vic.gov.au/residents/parking | https://www.whitehorse.vic.gov.au/residents/parking/how-parking-monitored,"Inspect Whitehorse assets for Box Hill parking maps, sensor-area spatial data, or permit-zone layers.",0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking pages found. Council states it has over 3,000 in-ground sensors, but no machine-readable parking dataset was found in this pass."
Whittlesea City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Wodonga City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Wyndham City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Yarra City Council,metro,missing,evidence_found_no_dataset,sensor_map_pdf_not_public_zones_yet,medium,parking_page_with_sensor_pdf_map,pdf_map_only,,,,https://www.yarracity.vic.gov.au/residents/transport/parking | https://www.yarracity.vic.gov.au/residents/transport/parking/parking-sensors-yarra | https://www.yarracity.vic.gov.au/sites/default/files/2024-05/www.yarracity.vic.gov.au/-/media/files/ycc/services/parking/30042018-yarra-sensors.pdf,"Inspect the Yarra sensor PDF and related site assets for source GIS layers; if none exist, treat the PDF as a fallback manual extraction input.",0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking and parking-sensor pages found, including a downloadable PDF sensor locations map, but no machine-readable dataset was found in this pass."
Yarra Ranges Shire Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Yarriambiack Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
